,search_spot_lat,search_spot_lon,search_radius,id,Name,Latitude,Longitude,Category
0,52.54504492,13.443593120000001,666.6666666666666,4fd756c4e4b0269cfe9602b3,Aquaphine,52.544432935562305,13.441053628921507,Pool
1,52.54504492,13.443593120000001,666.6666666666666,4b56bc90f964a520dd1928e3,dm-drogerie markt,52.54304,13.441816,Drugstore
2,52.54504492,13.443593120000001,666.6666666666666,4bb071d4f964a520e9453ce3,Alnatura,52.5432258766698,13.441678841285686,Organic Grocery
3,52.54504492,13.443593120000001,666.6666666666666,534d1382498ef814e3c131e2,Café Gold Stück,52.54472,13.437095,Café
4,52.54504492,13.443593120000001,666.6666666666666,4b6577f1f964a52095f12ae3,Kieser Training,52.54646,13.44313,Gym / Fitness Center
5,52.54504492,13.443593120000001,666.6666666666666,4aee9683f964a5200bd421e3,Zur Haxe,52.544731,13.436748,German Restaurant
6,52.54504492,13.443593120000001,666.6666666666666,551fc0d9498eb68460528394,Fellini PIZZA,52.548801251679656,13.450058154372302,Pizza Place
7,52.54504492,13.443593120000001,666.6666666666666,59f5f578acb00b43e62c787d,Babuschka in der alten Fischräucherei,52.550547,13.447008,Café
8,52.54504492,13.443593120000001,666.6666666666666,5058a066e4b0a4e74d04173e,Staatliche Ballettschule Berlin und Schule für Artistik,52.54561073556471,13.436036400149112,Dance Studio
9,52.54504492,13.443593120000001,666.6666666666666,4e132d3252b1655efa5510b6,Eis und Heiß,52.54495916845176,13.437258252028085,Ice Cream Shop
10,52.54504492,13.443593120000001,666.6666666666666,4de0ae3222713271e2ba4953,Spongebob Sicherungskasten,52.54088863449393,13.438879139015736,Public Art
11,52.54504492,13.443593120000001,666.6666666666666,4ff5de1de4b0b3e6986b6549,Rossmann,52.54335599452129,13.442220705180269,Drugstore
12,52.54504492,13.443593120000001,666.6666666666666,50bc7474e4b0efcb4c53756b,Kopierladen,52.54754,13.449779,Paper / Office Supplies Store
13,52.54504492,13.443593120000001,666.6666666666666,515342ede4b0f25d4c91c995,EDEKA Ostseestrasse,52.54673284,13.44283286,Supermarket
14,52.54504492,13.443593120000001,666.6666666666666,4cc55117d43ba143028c6cf8,REWE City,52.54381272126812,13.44136512389889,Supermarket
15,52.54504492,13.443593120000001,666.6666666666666,4adcda8cf964a520094a21e3,Kino Toni & Tonino,52.54875144271796,13.450917950742943,Indie Movie Theater
16,52.54504492,13.443593120000001,666.6666666666666,5b3f420d3d47910039dac7b2,Phönix,52.543341,13.442014,Chinese Restaurant
17,52.54504492,13.443593120000001,666.6666666666666,4eb64d780aaf1abedfadbec4,Le Crobag,52.540530992303644,13.438940048217773,Bakery
18,52.54504492,13.443593120000001,666.6666666666666,53725af9498eebfa60ae1986,PastaLaden,52.548878,13.449719,Italian Restaurant
19,52.54504492,13.443593120000001,666.6666666666666,563737eb498e6c1e196be727,BIO COMPANY,52.547984183515396,13.449108388844767,Organic Grocery
20,52.54504492,13.443593120000001,666.6666666666666,50d55b9ee4b02e407441151e,Einsteinpark,52.54035957296854,13.445580339903245,Park
21,52.54504492,13.443593120000001,666.6666666666666,5a99aa57a2a6ce7533efacff,Moon Asiate,52.548613,13.450423,Vietnamese Restaurant
22,52.54504492,13.443593120000001,666.6666666666666,4b4858fdf964a520ef4b26e3,Kaiser's,52.54793067764277,13.451195883055707,Supermarket
23,52.54504492,13.443593120000001,666.6666666666666,4b5c3e26f964a520552829e3,OBI,52.546609545148414,13.443482361572023,Hardware Store
24,52.54504492,13.443593120000001,666.6666666666666,50ae5bb0e4b0a71210d3f316,Video Center,52.5409668235937,13.438232400830138,Video Store
25,52.54504492,13.443593120000001,666.6666666666666,5313579b11d2285db4b13a97,Headquarter Sitzkissenfraktion,52.54949497160737,13.440095445103498,Sporting Goods Shop
26,52.54504492,13.443593120000001,666.6666666666666,4e87807d30f8f98faf9cd47a,EDEKA,52.54129229999999,13.4398829,Supermarket
27,52.54504492,13.443593120000001,666.6666666666666,52b54950498e483de64aff90,denn's Biomarkt,52.54756462830358,13.451123165813147,Organic Grocery
28,52.54504492,13.443593120000001,666.6666666666666,4ffe6826e4b0671608a6e431,Ostseeplatz,52.54687670842035,13.439953325767318,Park
29,52.54504492,13.443593120000001,666.6666666666666,4b3c9340f964a520478525e3,ALDI NORD,52.54118118204639,13.437623015717095,Supermarket
30,52.54504492,13.443593120000001,666.6666666666666,4b2925e4f964a520bc9924e3,Antonplatz,52.548476640946916,13.450812525688784,Plaza
31,52.54504492,13.443593120000001,666.6666666666666,4b792cf5f964a520e5ed2ee3,Lecker & Satt,52.54136691319922,13.438781900345809,Doner Restaurant
32,52.54504492,13.443593120000001,666.6666666666666,4fcf611b3ac6d9ec99037621,Lidl,52.550079,13.441458,Supermarket
33,52.54504492,13.443593120000001,666.6666666666666,4e6879f4fa768a5e3cdce352,Die Etage East,52.54931361382534,13.448640411926755,Hostel
34,52.54504492,13.443593120000001,666.6666666666666,5625e61e498e098ccf7da6ad,Steinecke,52.540638659270606,13.43875229358673,Bakery
35,52.54504492,13.443593120000001,666.6666666666666,4eabdf1b2c5b5d71e76470a2,Xxxl Die Schmiede,52.55044072294902,13.442792603436457,Gym
36,52.54504492,13.443593120000001,666.6666666666666,5a044699e96d0c37472a31a7,EDEKA Am Antonplatz,52.5476213,13.4515471,Supermarket
37,52.54504492,13.443593120000001,666.6666666666666,4f93ba12e4b0532d5df9fcca,Backstop (im Kaiser's),52.54797336716436,13.45122600701398,Bakery
38,52.54504492,13.443593120000001,666.6666666666666,5b050779270ee7002cef66ed,Mishba,52.540301,13.438514,Burrito Place
